case_id,customer_id,region,industry,customer_tier,pump_model,model_family,complexity_class,pump_age_years,operating_hours,prior_repairs_count,error_code,failure_type,severity,priority,warranty_flag,technician_id,technician_experience_years,critical_part_id,critical_part_supplier_id,parts_from_hq_flag,maintenance_kit_applied,maintenance_kit_type,maintenance_kit_threshold_hours,intake_date,received_date,diagnosis_date,repair_start_date,repair_end_date,qa_date,shipped_back_date,waiting_for_parts_days,queue_days,active_repair_days,rework_count,rework_days,qa_duration_days,repair_duration_days,qa_failed_flag,parts_cost_eur,labor_hours
RMA9500000,CUST10203,DACH,R&D,Key Account,R300,R,Medium,8.47,7498,3,PM_SCHED,Preventive maintenance,low,Normal,0,TECH226,4.0,R300_KIT_O_RING_P_12,SUP301,1,1,PMKIT_R300,7000,2024-11-17,2024-11-19,2024-11-20,2024-11-22,2024-11-24,2024-11-25,2024-11-23,3,4,2.11,0,0.0,0.63,4.05,0,2210.8,13.88
RMA9500001,CUST10239,DACH,Pharma,Strategic,G100D,G,Medium,1.24,7076,2,LEAK_01,Seal/Leak,medium,Normal,0,TECH219,4.0,G100D_ADD_INLET_VALVE_PLATE_G_SERIES,SUP301,1,0,,8000,2024-11-16,2024-11-17,2024-11-19,2024-11-20,2024-11-25,2024-11-26,2024-11-21,3,4,5.56,0,0.0,1.08,4.66,0,600.35,38.45
RMA9500002,CUST10135,DACH,Automotive,Key Account,T1200,T,High,5.08,1154,1,VIB_02,Vibration,high,High,0,TECH216,5.0,T1200_ADD_CORROSION_SEAL_SET_T_SERIES,SUP312,1,0,,6500,2025-06-10,2025-06-14,2025-06-15,2025-06-15,2025-06-26,2025-06-26,2025-06-24,4,2,10.83,0,0.0,0.64,10.77,0,1152.24,69.5
RMA9500003,CUST10241,EMEA,R&D,Standard,G200D,G,Medium,8.97,8212,0,PM_SCHED,Preventive maintenance,low,Normal,0,TECH210,7.0,G200D_KIT_OIL_SEAL_SC_17_30_7,SUP301,1,1,PMKIT_G200D,9000,2024-03-11,2024-03-15,2024-03-16,2024-03-16,2024-03-18,2024-03-19,2024-03-19,4,0,1.97,0,0.0,1.0,4.51,0,1915.55,12.17
RMA9500004,CUST10142,DACH,Automotive,Standard,LD50,LD,Low,1.77,7502,1,PM_SCHED,Preventive maintenance,low,Normal,0,TECH224,9.0,LD50_KIT_NO_1_VANE_62X155XT6,SUP301,1,1,PMKIT_LD50,9500,2025-10-27,2025-10-29,2025-11-01,2025-11-03,2025-11-04,2025-11-05,2025-11-01,1,4,1.58,0,0.0,0.69,3.08,0,534.8,11.09
RMA9500005,CUST10197,EMEA,Semiconductor,Standard,G200D,G,Medium,2.85,12576,4,LEAK_01,Seal/Leak,medium,Normal,0,TECH218,6.0,G200D_ADD_BEARING_SET_G_SERIES,SUP300,0,0,,9000,2024-09-07,2024-09-11,2024-09-12,2024-09-13,2024-09-19,2024-09-20,2024-09-13,1,3,6.38,0,0.0,1.16,2.58,0,614.19,44.58
RMA9500006,CUST10285,DACH,Vacuum Coating,Key Account,R300,R,Medium,6.73,3092,0,TEMP_03,Overheating,high,High,0,TECH213,4.0,R300_ADD_CORROSION_SEAL_SET_R_SERIES,SUP307,0,0,,7000,2024-12-04,2024-12-07,2024-12-10,2024-12-10,2024-12-18,2024-12-20,2024-12-23,1,4,8.62,0,0.0,1.27,16.3,1,397.08,57.61
RMA9500007,CUST10271,DACH,Pharma,Standard,R600,R,High,3.13,8020,4,PM_SCHED,Preventive maintenance,low,Normal,0,TECH201,12.0,R600_KIT_BEARING_6203_OPEN,SUP301,1,1,PMKIT_R600,8000,2025-09-22,2025-09-25,2025-09-26,2025-09-26,2025-09-28,2025-09-29,2025-09-28,5,3,2.41,0,0.0,0.6,3.62,0,2132.65,13.41
RMA9500008,CUST10122,DACH,Semiconductor,Standard,T800,T,High,3.42,5824,3,PM_SCHED,Preventive maintenance,low,Normal,0,TECH214,4.0,T800_ADD_BEARING_SET_T_SERIES,SUP305,1,1,PMKIT_T800,6000,2025-04-10,2025-04-12,2025-04-15,2025-04-16,2025-04-19,2025-04-21,2025-04-15,1,2,3.04,0,0.0,1.19,3.15,0,1581.77,18.61
RMA9500009,CUST10096,DACH,Semiconductor,Standard,T1200,T,High,1.62,6960,4,CONT_05,Contamination,medium,Normal,0,TECH212,11.0,T1200_ADD_ROTOR_BALANCING_WASHER_T_SERIES,SUP311,1,0,,6500,2025-11-28,2025-11-30,2025-12-01,2025-12-02,2025-12-11,2025-12-11,2025-12-28,4,2,8.33,0,0.0,0.72,28.38,1,509.49,49.8
RMA9500010,CUST10230,DACH,Vacuum Coating,Standard,T1200,T,High,6.95,6968,1,PM_SCHED,Preventive maintenance,low,Normal,0,TECH221,3.0,T1200_KIT_OIL_SEAL_SC_17_30_7,SUP301,1,1,PMKIT_T1200,6500,2025-07-17,2025-07-20,2025-07-22,2025-07-22,2025-07-24,2025-07-26,2025-07-23,4,2,2.76,0,0.0,1.28,3.51,0,1461.04,18.3
RMA9500011,CUST10085,US,Vacuum Coating,Key Account,R600,R,High,6.06,4809,3,LEAK_01,Seal/Leak,medium,Normal,0,TECH205,6.0,R600_ADD_VIBRATION_DAMPER_R_SERIES,SUP310,1,0,,8000,2024-08-25,2024-08-29,2024-08-30,2024-08-30,2024-09-05,2024-09-06,2024-09-08,4,2,6.62,0,0.0,0.84,10.69,0,638.41,39.17
RMA9500012,CUST10069,US,R&D,Standard,LD50,LD,Low,9.5,10522,0,PM_SCHED,Preventive maintenance,low,Normal,0,TECH211,10.0,LD50_ADD_FILTER_ELEMENT_LD_SERIES,SUP302,1,1,PMKIT_LD50,9500,2024-02-20,2024-02-21,2024-02-23,2024-02-23,2024-02-24,2024-02-26,2024-02-25,0,2,1.68,0,0.0,1.07,4.05,0,578.01,10.94
RMA9500013,CUST10062,DACH,Semiconductor,Key Account,G400D,G,High,7.42,9808,3,PM_SCHED,Preventive maintenance,low,Normal,0,TECH212,11.0,G400D_KIT_VANE_SPRING_PHI24X24,SUP301,1,1,PMKIT_G400D,10000,2024-08-01,2024-08-04,2024-08-05,2024-08-07,2024-08-10,2024-08-12,2024-08-06,1,0,3.13,0,0.0,1.19,2.98,0,1932.21,19.64
RMA9500014,CUST10214,DACH,Aerospace,Key Account,R300,R,Medium,6.03,7068,2,VIB_02,Vibration,high,High,0,TECH222,4.0,R300_ADD_OIL_MIST_FILTER_R_SERIES,SUP305,1,0,,7000,2025-03-24,2025-03-27,2025-03-28,2025-03-29,2025-04-05,2025-04-06,2025-04-05,1,4,7.39,0,0.0,0.85,9.91,0,600.06,46.15
